Reliable & Punctual,"I can be trusted to keep commitments. My supervisor and co-workers come to depend on me because they know I will keep my word. I'm trustworthy, I care and mind to be on time, admit my mistakes and respond with integrity."
Presentable & Inspiring,"I enjoy inspiring my friends, co-workers and team-mates with my actions and words to believe in a common vision. I also possess the ability to encourage the employee commitment and engagement that is the foundation for continued success. Being well presented, neat and clean is a very important part of who I am and how I want others to see me."
Problem Solving & Results Oriented,"I have strong analytical and creative skills. When problems arise around me whether is at work or outside it, I use lateral thinking, initiative, logical reasoning and persistence to solve them. I'm able to evaluate information or situations, break them down into the key components, consider various ways of approaching and resolving the issue and decide on the most appropriate way to resolve it. I'm persistence and always focus on finishing tasks and give satisfactory results."
Leadership & Decision Making ,"I'm able to motivate, direct others, take responsibility for the direction and actions of a person or a team, setting objectives, Organising and motivating others, taking the initiative, persevering when things are not working out or as intended, take positive attitude to frustration/failure, accepting my responsibility for mistakes/wrong decisions and being flexible (prepared to adapt goals in the light of changing situations). I show a ""can do"" attitude towards work and bring the team to the path of success."
Adaptability & flexibility,"I understand that life will give me different challenges and problems every day. I'm able to see those challenges as opportunities and always be flexible and adapt to different circumstances with a ""can do' and a positive attitude. I'm able to change environments and embrace new ideas, who are enterprising, resourceful and adaptable."
Creativity & Self-awareness,"I look at things ""outside the box”. I enjoy using my lateral thinking and I have the ability to perceive patterns that are not obvious. I have the ability to devise new ways to carry out tasks, solve problems, and meet challenges. For me is very important to see life as a whole and try to find balance between work and leisure, to know myself as well as others and respect myself as well as others."
Willingness to learn,"I understand and apply that desire and willingness to learn is a crucial skill for surviving, improving and achieving any kind of success in the career and business. It expresses the human desire, cheerfully consenting or readiness to know new things and to improve yourself."
Work ethic & Dedicated,"I know that strong work ethic is vital to a company achieving its goals. Every employee, from the CEO to entry-level workers, must have a good work ethic to keep the company functioning at its peak. I have and use a set of moral principals in my job and every day basis. When I set my mind to do something I dedicate my time to achieve it in a discipline way, I focus all my energy to be successful at the task required with higher quality standards."
Time management & Punctuality,"I understand the importance of achieving goals in the right amount of time, that’s why I pay attention to how I’m going to spend my time in order to achieve a common goal. I enjoy using my time management skills not with my own tasks at work, but also helping and guiding others on how to manage their time more efficiently. I try my hardest to be on time not just to work or meetings, but to every commitment and responsibility in life."
Teamwork & empathetic,"I enjoy working in a team environment and set a common goal. I'm able to mediate problems between team members, also able to negotiate with my team members to settle disputes, and make sure everyone is happy with the team's choices. I understand that communication plays a very important role so I always try to be clear communicating as well as patient listening. I like to be friendly with the people around me, respecting others and be respected is something important for me."
